"longitude","latitude","presencia"
166.7271,-77.8428,1
-67.4964,-45.8467,1
-64.716,-37.4309,1
-62.6497,-39.2291,1
-66.7524,-28.6684,1
-66.7524,-28.6684,1
-67.6953,-45.7458,1
-67.9081,-45.8507,1
-65.2298,-43.0907,1
-65.1734,-43.3522,1
-65.1734,-43.3522,1
-67.9808,-46.8065,1
-61.8984,-38.7833,1
117.7977,-35.0641,1
143.0794,-37.2385,1
149.1982,-33.6219,1
144.6869,-40.7207,1
149.1267,-36.5763,1
149.0998,-32.4146,1
140.4033,-37.7603,1
141.385,-38.3577,1
141.543,-38.3676,1
141.543,-38.412,1
141.6209,-38.3976,1
149.5186,-35.166,1
135.5852,-34.8509,1
143.114,-37.3898,1
138.1192,-33.5086,1
141.9547,-38.2835,1
118.4566,-31.5432,1
149.5425,-34.5165,1
143.1537,-37.1216,1
149.4001,-34.805,1
115.3768,-30.4882,1
121.7778,-33.8927,1
121.769,-33.8802,1
117.7638,-35.0507,1
149.4597,-34.6149,1
149.3861,-34.6977,1
138.7928,-33.3855,1
138.7323,-33.3397,1
138.8552,-33.5226,1
120.1297,-33.9078,1
114.1946,-27.8995,1
141.7474,-36.3966,1
140.4058,-37.7815,1
140.4195,-37.8149,1
140.393,-37.7505,1
144.1222,-37.4271,1
137.5572,-32.5645,1
142.1844,-38.0648,1
144.1913,-37.655,1
144.1622,-37.7402,1
142.4653,-37.8413,1
136.7039,-33.6255,1
143.8019,-38.2587,1
143.8892,-37.8317,1
114.9599,-28.9918,1
142.3182,-36.4333,1
148.0097,-40.7798,1
138.7296,-33.3093,1
142.5467,-37.6871,1
151.4119,-29.6997,1
138.1402,-33.714,1
138.1184,-33.8302,1
138.1432,-35.5678,1
144.7362,-40.7788,1
149.8652,-34.4314,1
146.3441,-38.6451,1
114.9282,-28.9229,1
138.9109,-34.001,1
137.7058,-35.1104,1
143.6037,-37.3575,1
145.5306,-17.5922,1
145.5462,-38.6037,1
149.5716,-35.0861,1
144.2408,-37.7281,1
142.0151,-38.3079,1
16.7264,48.0338,1
16.844,48.09,1
16.844,48.09,1
16.89,48.095,1
3.2166,51.2488,1
2.8,51.66,1
4.32,50.2233,1
3.2132,51.2622,1
2.8998,51.6186,1
3.7878,51.1357,1
4.3226,51.1265,1
2.9689,51.556,1
2.921,51.54,1
3.1819,51.329,1
4.0804,50.4116,1
3.2219,51.3596,1
-34.968,-6.5475,1
-36.3629,-5.0944,1
-36.3833,-5.1243,1
-34.9344,-7.2731,1
-42.5911,-14.1852,1
-42.7002,-14.172,1
-51.5646,-26.6183,1
-42.6137,-14.3461,1
-51.7532,-26.5848,1
-36.3377,-5.0919,1
-36.9009,-4.9686,1
-35.382,-5.3042,1
-35.8266,-5.2323,1
-35.8808,-5.2286,1
-35.8436,-5.2551,1
-35.9916,-5.3291,1
-36.0088,-5.3828,1
-35.9987,-5.3596,1
-35.943,-5.2529,1
-35.9804,-5.2812,1
-42.6791,-11.1573,1
-42.6949,-11.1967,1
-42.7,-11.1674,1
-34.9737,-6.5474,1
-50.3161,-30.3188,1
-50.3234,-30.3265,1
-50.335,-30.2919,1
-50.305,-30.2915,1
-52.8587,-33.0519,1
-52.9938,-33.1318,1
-52.8855,-33.079,1
-52.9626,-33.142,1
-52.9371,-33.0511,1
-36.0317,-5.3698,1
-36.0381,-5.3022,1
-36.04,-5.3449,1
-36.0606,-5.322,1
-41.0624,-9.8288,1
-41.1203,-9.8868,1
-41.1037,-9.8412,1
-36.9293,-10.81,1
-39.6663,-3.0984,1
-49.5703,-28.4403,1
-37.7596,-4.4472,1
-42.5867,-14.5084,1
-39.9839,-2.8853,1
-39.2809,-3.2532,1
-42.5471,-14.1272,1
-42.4845,-14.1632,1
-42.503,-14.185,1
-42.507,-14.2194,1
-42.4783,-14.1415,1
-42.4749,-14.1146,1
-42.4746,-14.1082,1
-42.641,-14.4528,1
-39.9544,-2.9159,1
-36.544,-6.0339,1
-36.4835,-6.0166,1
-36.546,-6.0489,1
-36.472,-6.0236,1
-36.488,-6.0303,1
-36.4499,-6.0132,1
-35.0053,-8.3344,1
-51.7401,-26.6123,1
-35.9428,-5.345,1
-35.9322,-5.3201,1
-35.9669,-5.3356,1
-35.9479,-5.2931,1
-34.9721,-6.5576,1
-42.6227,-14.1831,1
-37.7577,-4.4671,1
-55.7084,-30.9163,1
-34.969,-6.556,1
-36.9918,-4.9438,1
-37.0036,-4.9457,1
-51.7427,-26.5889,1
-55.7251,-30.8407,1
-55.6856,-30.8485,1
-55.7142,-30.8018,1
-55.7558,-30.8327,1
-55.7556,-30.7957,1
-55.6906,-30.783,1
-55.7527,-30.8512,1
-53.381,-33.6875,1
-53.3936,-33.6565,1
-53.4003,-33.6594,1
-53.4164,-33.6647,1
-53.4218,-33.6681,1
