"longitude","latitude","presencia"
65.795,31.67,1
65.792,31.623,1
-0.317,27.908,1
5.475,35.88,1
0.804,34.532,1
3.164,34.346,1
3.169,34.342,1
4.204,34.861,1
-0.317,27.908,1
1.3351,26.9989,1
8.565,31.285,1
6.11,36.225,1
2.811,33.727,1
5.834,32.602,1
3.356,33.123,1
3.169,34.342,1
5.9861,35.68,1
2.504,27.183,1
0.555,32.945,1
-0.372,33.274,1
7.87,35.919,1
5.9861,35.68,1
5.035,36.01,1
0.137,26.768,1
5.45,22.849,1
0.223,29.22,1
-8.154,27.752,1
-0.601,34.692,1
-0.174,27.241,1
-68.5402,-31.9881,1
-65.93,-26.04,1
-65.445,-33.61,1
-66.8,-23.8,1
-69.27,-30.34,1
-68.6752,-31.3891,1
-66.225,-28.165,1
138.5882,-34.9453,1
142.7452,-34.6899,1
145.318,-23.549,1
145.2732,-23.5388,1
149.468,-32.353,1
153.11,-27.404,1
141.3915,-31.9867,1
137.838,-32.427,1
137.841,-32.408,1
151.7275,-32.8835,1
152.38,-25.28,1
147.2105,-19.8398,1
147.5855,-22.8446,1
147.8074,-20.5411,1
150.8942,-27.1169,1
130.8908,-12.4157,1
147.7707,-20.4947,1
119.317,-25.55,1
148.658,-32.273,1
148.1347,-23.5084,1
115.416,-30.489,1
143.4553,-35.6762,1
150.375,-28.325,1
115.1119,-28.9043,1
146.1094,-34.3155,1
149.476,-34.61,1
147.7671,-20.5048,1
147.0483,-19.733,1
147.7449,-20.4877,1
144.17,-20.875,1
142.2521,-34.4154,1
144.14,-18.89,1
146.4092,-33.311,1
144.862,-15.869,1
150.9797,-32.3761,1
148.439,-23.0875,1
148.718,-33.1733,1
149.8669,-29.5722,1
149.146,-35.3989,1
148.256,-32.224,1
141.05,-17.681,1
116.711,-31.652,1
145.4746,-36.1592,1
147.0854,-31.5527,1
151.647,-27.406,1
151.655,-27.412,1
148.075,-33.1027,1
115.8548,-31.9767,1
138.905,-32.945,1
146.394,-19.03,1
146.715,-19.424,1
149.1435,-35.4897,1
147.9188,-22.1405,1
151.65,-32.891,1
146.8885,-19.3355,1
143.491,-34.804,1
152.405,-25.32,1
143.518,-35.342,1
139.4924,-35.2708,1
153.0101,-27.495,1
133.8682,-23.7685,1
153.025,-26.56,1
142.5457,-34.8027,1
151.553,-29.765,1
147.7481,-20.4949,1
137.558,-33.007,1
149.128,-35.571,1
138.6198,-31.5234,1
142.179,-34.407,1
50.58,26.1,1
84.145,26.585,1
92.256,20.982,1
31.55,53.64,1
31.6,53.625,1
30.2559,51.784,1
30.209,51.797,1
30.85,52.92,1
29.155,51.77,1
26.48,54.41,1
5.265,51.203,1
4.288,51.273,1
4.3812,51.2709,1
-68.815,-11.025,1
-67.65,-20.75,1
-65.23,-21.83,1
-37.755,-5.06,1
-37.015,-5.555,1
-44.107,-12.597,1
-43.9711,-19.8656,1
-38.12,-9.055,1
-49.85,-21.91,1
-46.74,-18.88,1
-46.74,-18.88,1
-43.99,-12.705,1
-44.112,-12.594,1
-48.9749,-28.448,1
-42.545,-8.213,1
-47.25,-17.34,1
-44.92,-17.416,1
-44.88,-17.4,1
-44.88,-17.4,1
-42.505,-8.51,1
-42.565,-8.465,1
-44.3,-12.26,1
-36.235,-8.343,1
-47.0438,-22.8838,1
-40.2747,-6.0039,1
